Annual Total,Coal,Petroleum,Natural Gas,Other Gases,Nuclear,Hydroelectric Pumped Storage,Conventional Hydroelectric Power,Wood,Waste,Geothermal,Solar,Wind,Total
1949,135451.32,28547.232,36966.709,0,0,0,94772.992,386.036,0,0,0,0,296124.289
1950,154519.994,33734.288,44559.159,0,0,0,100884.575,389.585,0,0,0,0,334087.601
1951,185203.657,28712.116,56615.678,0,0,0,104376.12,390.784,0,0,0,0,375298.355
1952,195436.666,29749.761,68453.088,0,0,0,109708.251,481.647,0,0,0,0,403829.413
1953,218846.325,38404.449,79790.975,0,0,0,109617.396,389.418,0,0,0,0,447048.563
1954,239145.966,31520.175,93688.271,0,0,0,111639.772,263.434,0,0,0,0,476257.618
1955,301362.698,37138.308,95285.441,0,0,0,116235.946,276.469,0,0,0,0,550298.862
1956,338503.484,35946.772,104037.208,0,0,0,125236.621,151.678,0,0,0,0,603875.763
1957,346386.207,40499.357,114212.525,0,9.67,0,133357.93,176.678,0,0,0,0,634642.367
1958,344365.781,40371.54,119759.302,0,164.691,0,143614.545,175.003,0,0,0,0,648450.862
1959,378424.21,46839.719,146619.391,0,188.101,0,141154.533,152.877,0,0,0,0,713378.831
1960,403067.357,47986.893,157969.787,0,518.182,0,149440.035,140.166,0,33.368,0,0,759155.788
1961,421870.669,48519.376,169285.998,0,1692.149,0,155536.444,125.734,0,94.021,0,0,797124.391
1962,450249.238,48879.536,184301.293,0,2269.685,0,172015.646,127.796,0,100.462,0,0,857943.656
1963,493926.719,52001.61,201602.073,0,3211.836,0,168990.14,127.94,0,167.953,0,0,920028.271
1964,526230.019,56953.712,220038.479,0,3342.743,0,180301.506,148.076,0,203.791,0,0,987218.326
1965,570925.951,64801.224,221559.434,0,3656.699,0,196984.345,268.804,0,189.214,0,0,1058385.671
1966,613474.8,78926.172,251151.562,0,5519.909,0,197937.538,333.926,0,187.988,0,0,1147531.895
1967,630483.363,89270.724,264805.785,0,7655.214,0,224948.605,315.688,0,316.309,0,0,1217795.688
1968,684904.58,104275.833,304432.723,0,12528.419,0,225873.158,375.062,0,435.826,0,0,1332825.601
1969,706001.24,137847.152,333278.945,0,13927.839,0,253468.237,319.933,0,614.71,0,0,1445458.056
1970,704394.479,184183.402,372890.063,0,21804.448,0,250957.442,136,220.45,525.183,0,0,1535111.467
1971,713102.454,220225.423,374030.784,0,38104.545,0,269531.459,111.33,199.869,547.752,0,0,1615853.616
1972,771131.265,274295.961,375747.796,0,54091.135,0,275928.828,130.859,199.774,1452.795,0,0,1752978.413
1973,847651.47,314342.926,340858.192,0,83479.463,0,275430.574,130.403,197.89,1965.713,0,0,1864056.632
1974,828432.921,300930.537,320065.088,0,113975.74,0,304211.805,68.523,182.154,2452.636,0,0,1870319.404
1975,852786.222,289094.9,299778.408,0,172505.075,0,303152.673,17.551,173.568,3246.172,0,0,1920754.569
1976,944390.993,319988.136,294623.911,0,191103.531,0,286924.238,84.386,182.078,3616.407,0,0,2040913.681
1977,985218.596,358178.822,305504.859,0,250883.283,0,223598.687,307.634,173.271,3582.335,0,0,2127447.488
1978,975742.083,365060.441,305390.836,0,276403.07,0,283465.224,197.193,140.434,2977.63,0,0,2209376.911
1979,1075037.091,303525.209,329485.107,0,255154.623,0,283075.976,299.859,198.192,3888.968,0,0,2250665.025
1980,1161562.368,245994.189,346239.9,0,251115.575,0,279182.09,275.366,157.797,5073.079,0,0,2289600.364
1981,1203203.232,206420.775,345777.173,0,272673.503,0,263844.664,245.201,122.628,5686.163,0,0,2297973.338
1982,1192004.204,146797.49,305259.749,0,282773.248,0,312374.013,195.94,124.979,4842.865,0,0,2244372.487
1983,1259424.279,144498.593,274098.458,0,293677.119,0,335290.855,215.867,162.745,6075.101,0,2.668,2313445.686
1984,1341680.752,119807.913,297393.596,0,327633.549,0,324311.365,461.411,424.54,7740.504,5.248,6.49,2419465.367
1985,1402128.125,100202.273,291945.965,0,383690.727,0,284310.538,743.294,639.578,9325.23,10.63,5.762,2473002.12
1986,1385831.452,136584.867,248508.433,0,414038.063,0,294005.219,491.509,685.234,10307.954,14.032,4.189,2490470.952
1987,1463781.289,118492.571,272620.803,0,455270.382,0,252856.093,783.088,693.941,10775.461,10.497,3.541,2575287.667
1988,1540652.774,148899.561,252800.704,0,526973.047,0,226100.803,935.986,738.258,10300.079,9.094,0.871,2707411.178
1989,1583779.139,164358.52,352628.866,7862.418,529354.717,0,271976.936,27236.668,9162.887,14593.443,250.601,2112.043,2967146.087
1990,1594011.479,126460.202,372765.154,10382.83,576861.678,-3507.741,292865.846,32521.889,13260.379,15434.271,367.087,2788.6,3037827.337
1991,1590622.748,119751.573,381553.017,11335.593,612565.087,-4541.435,288994.189,33725.358,15664.746,15966.444,471.765,2950.951,3073798.885
1992,1621206.039,100154.163,404074.372,13270.237,618776.263,-4176.582,253088.003,36528.662,17816.035,16137.962,399.64,2887.523,3083882.204
1993,1690070.232,112788.18,414926.798,12955.798,610291.214,-4035.572,280494.008,37623.407,18333.031,16788.565,462.452,3005.827,3197191.096
1994,1690693.864,105900.983,460218.682,13319.051,640439.832,-3377.825,260125.733,37937.364,19128.595,15535.453,486.622,3447.109,3247522.388
1995,1709426.468,74554.065,496057.945,13869.951,673402.123,-2725.131,310832.748,36521.082,20404.971,13378.258,496.821,3164.253,3353487.362
1996,1795195.593,81411.225,455055.576,14355.813,674728.546,-3088.078,347162.063,36800.31,20911.336,14328.684,521.205,3234.069,3444187.621
1997,1845015.736,92554.873,479398.67,13350.634,628644.171,-4039.905,356453.295,36948.441,21709.073,14726.102,511.168,3288.035,3492172.283
1998,1873515.69,128800.173,531257.104,13492.23,673702.104,-4467.28,323335.661,36338.384,22447.935,14773.918,502.473,3025.696,3620295.498
1999,1881087.224,118060.838,556396.127,14125.592,728254.124,-6096.899,319536.029,37040.734,22572.175,14827.013,495.082,4487.998,3694809.81
2000,1966264.596,111220.965,601038.159,13954.758,753892.94,-5538.86,275572.597,37594.866,23131.314,14093.158,493.375,5593.261,3802105.043
2001,1903955.942,124880.221,639129.119,9039.473,768826.308,-8823.445,216961.045,35199.905,14548.152,13740.501,542.755,6737.331,3736643.649
2002,1933130.354,94567.395,691005.744,11462.684,780064.087,-8742.928,264328.831,38665.037,15043.712,14491.31,554.831,10354.28,3858452.246
2003,1973736.752,119405.643,649907.539,15600.022,763732.695,-8535.065,275806.323,37529.096,15811.992,14424.231,534.001,11187.466,3883185.204
2004,1978300.549,121145.057,710100.017,15252.431,788528.387,-8488.21,268417.308,38116.883,15420.57,14810.975,575.155,14143.741,3970555.264
2005,2012873.046,122225.017,760960.254,13464.144,781986.365,-6557.788,270321.255,38856.417,15420.393,14691.745,550.294,17810.549,4055422.75
2006,1990511.135,64166.414,816440.77,14176.808,787218.636,-6557.842,289246.416,38762.096,16098.525,14568.029,507.706,26589.137,4064702.228
2007,2016455.584,65738.978,896589.791,13453.354,806424.753,-6896.352,247509.974,39014.024,16524.554,14637.213,611.793,34449.927,4156744.724
2008,1985801.247,46242.612,882980.599,11706.876,806208.435,-6288.062,254831.385,37299.853,17733.759,14839.977,864.315,55363.1,4119387.76
2009,1755904.253,38936.515,920978.681,10632.107,798854.585,-4627.345,273445.094,36050.138,18442.596,15008.658,891.179,73886.132,3950330.927
2010,1847290.279,37061.013,987697.234,11312.787,806968.301,-5501.132,260203.069,37172.16,18917.207,15219.213,1212.182,94652.246,4125059.9
2011,1733430.005,30182.245,1013688.929,11566.2,790204.367,-6420.516,319354.904,37449.067,19221.763,15316.068,1817.696,120176.599,4100140.927
2012,1514042.945,23189.542,1225894.175,11897.585,769331.249,-4950.496,276240.223,37799.129,19823.037,15562.426,4326.675,140821.703,4047765.26
2013,1581114.716,27164.444,1124835.56,12852.937,789016.473,-4681.033,268565.383,40027.537,20830.49,15774.674,9035.62,167839.745,4065964.068
2014,1581710.35,30231.862,1126608.958,12021.786,797165.982,-6173.548,259366.622,42339.725,21649.719,15876.941,17691.031,181655.282,4093606.006
2015,1352398.197,28248.749,1333482.11,13116.698,797177.877,-5091.488,249080.085,41928.506,21703.372,15917.575,24892.904,190718.548,4077600.939
2016,1239148.654,24204.806,1378306.934,12807.432,805693.948,-6686.127,267812.153,40947.227,21813.231,15825.807,36054.121,226992.562,4076674.984
2017,1205835.275,21389.958,1296414.692,12468.967,804949.635,-6494.548,300333.156,41151.779,21609.891,15926.765,53286.174,254302.662,4034270.522
2018,1146392.716,24571.82,1468012.599,12191.182,807077.759,-5904.539,291723.816,41411.26,21353.868,16728.455,66603.684,274951.815,4177809.699