sex,age,weight,height
f,11.9167,85,56.3
m,13.0833,105,60.5
f,15.9167,112.5,62.5
f,13.3333,94.5,62
f,13.0833,123.5,64.5
f,15.9167,107,65.3
f,11.75,85,61.8
f,15.4167,101,63.3
f,17.5,140,65.5
f,12.4167,110.5,64.3
f,14.0833,99.5,62.3
f,14.4167,102.5,62.8
f,12.5,94,61.3
f,12,93.5,59.5
f,12.1667,109,60
f,12.9167,107,61.3
f,15.25,102.5,64.5
f,12.8333,114,60
f,12.6667,105,60.5
f,12.3333,84.5,60.5
f,13.6667,98,65.3
f,14.75,81,61.3
f,15.25,112,66.5
f,15.1667,133,65.5
f,13.75,67,55.5
f,13.5833,84,56.5
f,14.25,84,63
f,16.0833,115,59.8
f,14.0833,85,61.5
f,12.9167,105,62.3
f,14.25,112,62.5
f,11.6667,68.5,53.8
f,12.4167,93,58.3
f,12.5,78.5,59.5
f,11.6667,81,53.5
f,13.8333,103.5,61.5
f,12.1667,83.5,56.3
f,11.5833,96,57.5
f,14.75,142.5,61.8
f,13.8333,89.5,59.3
f,15.3333,108,62.3
f,14.75,112,61.3
f,12.0833,91.5,59
f,13.9167,92.5,62.3
f,15.4167,106,60
f,13,75,54.5
f,15.9167,113.5,63.3
f,15.75,113.5,64.3
f,13.0833,112,60.5
f,14.25,91,61.5
f,11.9167,116.5,61.5
f,15.1667,91.5,62
f,12.8333,122.5,61
f,11.75,72.5,56
f,13.9167,93.5,61
f,11.75,85,61.3
f,14.5833,86,60.3
f,12.75,108,63.3
f,15.4167,104,59
f,11.5833,104,61.5
f,11.9167,50.5,51.3
f,12.25,115,61.3
f,13.6667,83.5,58
f,14.5833,93.5,60.8
f,14.1667,90,64.3
f,15.5,95,57.8
f,15.4167,118,65.3
f,14,95,61.5
f,11.5833,63.5,52.8
f,14.8333,148.5,63.5
f,12.25,75,55.8
f,15.25,109.5,64.3
f,12.3333,77,56.3
f,12,73.5,55.8
f,15.8333,140,66.8
f,11.9167,77.5,58.3
f,12.25,101,59.5
f,14.3333,142,64.8
f,14.9167,98.5,63
f,11.8333,72.5,56
f,12.5,74,54.5
f,12.25,64,51.5
f,15.1667,111.5,64
f,13.6667,108,63.3
f,15,110.5,61.3
f,13.4167,92,59
f,11.8333,69,56.5
f,14.8333,103.5,61.5
f,12.0833,89,58.8
f,15,114,63.3
f,14.6667,112,61.3
f,15,112,59
f,13.5,84,58
f,16.4167,121,61.5
f,15.1667,104.5,58.3
f,14.0833,98.5,62
f,12.25,84.5,59.8
f,16.4167,112,64.8
f,12.0833,84,57.8
f,11.9167,84,55.5
f,12.25,111.5,58.3
f,12.8333,93.5,62.8
f,11.6667,77,60
f,14.8333,117.5,66.5
f,12.3333,95,59
f,15.8333,98.5,56.8
f,15.5,83.5,57
f,13.75,106.5,61.3
f,12.9167,144.5,66
f,17.5,116,62
f,12,92,61
f,15.5,108,63.5
m,11.5833,87,60.5
m,12.1667,90,57.5
m,12.5833,117,66.3
m,12.75,84,60
m,14.6667,118.5,65
m,12.1667,83,57.3
m,12.5833,81,61
m,16.0833,133,66.3
m,11.9167,75,57.5
m,14.4167,112.5,69
m,12,88,59.5
m,12.25,84,57
m,12.5,84,59.5
m,11.6667,86.5,58.5
m,15.3333,112,66.5
m,14,111.5,66.5
m,16.9167,117,66.5
m,16.6667,147,71
m,12.0833,91,56.5
m,15.1667,133,67
m,14.75,111,63
m,12.5,98,59
m,14.25,112,61.8
m,11.8333,87.5,56
m,12,89,60
m,16.0833,150,72
m,11.5833,73.5,55
m,16.3333,98,64.5
m,12.75,79.5,57.8
m,13.6667,112,66.5
m,12,76.5,57.3
m,15.75,128,67
m,13.3333,84,60.5
m,11.75,84,53.3
m,17.1667,134,68.3
m,11.6667,94.5,59.5
m,15.25,105.5,66
m,12,94,62.8
m,13.5,119,64.5
m,14.5833,92,64
m,14.1667,112.5,63.8
m,13,106,66.3
m,15.6667,112,67.3
m,16.0833,127.5,67.8
m,13,92.5,58.3
m,13,114,68.5
m,12.4167,81,52.5
m,11.8333,84,58.8
m,12.6667,105,59.5
m,11.9167,101,57.5
m,14.4167,112,66
m,14.75,112,60.5
m,12.5,118,61.8
m,13.5,91,63
m,12.3333,118,60.5
m,17.1667,171.5,69.5
m,16.1667,134.5,65.3
m,15.5,112,66.5
m,13.6667,84,58
m,12.9167,80.5,57.3
m,15.75,114,65
m,12.5,84,59.5
m,15.25,111,64.8
m,13,112,61.8
m,12.5,99.5,59
m,15.4167,105,66
m,11.6667,84,56.5
m,13.3333,78.5,59.3
m,13.6667,95,60.5
m,14.5833,112,68
m,14.5,108,66
m,12.4167,92,57
m,14.0833,100,62
m,13.0833,80.5,58
m,13,108.5,61.5
m,12,84,57
m,11.8333,70,55
m,15.75,112,66.3
m,14.5,119.5,69.8
m,13.5833,117.5,65.3
m,12.9167,91.5,61.8
m,14.5833,114,65.5
m,15.6667,115.5,63.3
m,11.75,85,57.5
m,11.6667,83.5,56.8
m,13.25,112,63.3
m,12.6667,97,60.8
m,13.4167,75,56.8
m,13.25,99,62.8
m,14.8333,102.5,63.5
m,13.6667,140,61.5
m,13.75,98,64.8
m,12.5,128,60.8
m,12.25,79,50.5
m,14.4167,93,61.3
m,13.6667,95,57.8
m,14.6667,98.5,63.8
m,15,104,61.8
m,12.5833,86,58.3
m,14.8333,119.5,67.3
m,15.5,112,66
m,14.5833,98.5,63.5
m,13.6667,108,63.5
m,12,117.5,60
m,14.3333,112,65
m,14,93.5,60
m,13.1667,121,65
m,14.6667,81,61.5
m,15.6667,140,71
m,15.6667,150.5,65.8
m,13.8333,84,62.5
m,13.8333,121,67.3
m,13.5,105,60
m,13.8333,91,62
m,13.5833,112,66
m,14.5,112,63
m,13.3333,116,64
m,12.4167,72,56.3
m,12.1667,71.5,55
m,12.75,128,64.8
m,14.8333,112,63.8
m,11.8333,76,55
m,13.9167,107.5,62